Entidad,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
Estados Unidos Mexicanos,12025755,12357560,12713950,13089764,13482745,13893136,14320659,14766970,15231615,15712525,16208599,16721277,17252635,17801092,18364981,18940942,19529948,20132819,20745854,21371911,22015267,22672963,23338765,24004412,24661290,25302478,25923194,26518607,27080110,27600713,28119211,28685558,29294572,29915885,30529905,31145847,31801213,32513159,33301896,34155078,35018169,35881872,36726509,37541394,38321157,39054780,39761957,40475896,41208124,41931695,42505433,42944856,43519411,44225645,44926797,45619728,46299933,46961689,47598967,48207905,48788134,49344866,49885119,50411160,50919613,51410939,51895166,52374793,52844952,53302394,53735873,54139427,54515603,54864696,55188350,55489041,55769527,56032642,56280792,56515611,56737629,56946330,57140166,57316697,57473193,57607337,57717794,57804440,57868251,57910993,57934887,57942220,57935025,57914981,57883261,57840416,57786196,57719550,57638997,57543075,57430779
Aguascalientes,79993,82888,86016,89318,92783,96423,100214,104193,108356,112696,117495,122927,128762,134853,141191,147754,154572,161650,168940,176498,184312,192346,200575,208929,217351,225492,232679,239081,245207,251002,257657,265771,274535,283551,292614,301810,310806,319800,329654,340272,351665,364152,377007,389738,402264,413839,424476,435112,446054,457003,466472,474900,484625,495299,505907,516453,526908,537249,547414,557400,567195,576874,586523,596083,605316,614132,622669,630953,638991,646849,654431,661641,668565,675210,681582,687696,693533,699139,704527,709728,714754,719573,724150,728494,732563,736342,739800,742943,745779,748313,750584,752587,754366,755921,757261,758403,759342,760073,760571,760833,760850
Baja California,215555,222081,228912,236123,243660,251520,259727,268266,277161,286401,297929,313179,330473,348607,367570,387270,407736,429012,451032,473881,497511,522208,548016,574404,601197,628432,656517,685093,713335,741006,767364,793541,821050,849205,877490,905972,932136,956621,983535,1012497,1039609,1062273,1082008,1100645,1118063,1146619,1189980,1237025,1285601,1334892,1373275,1402047,1434823,1470319,1505702,1540597,1574762,1608018,1640191,1671227,1701198,1730390,1759120,1787386,1815026,1842171,1869146,1895948,1922454,1948497,1973485,1997146,2019518,2040621,2060569,2079518,2097624,2115066,2131973,2148456,2164546,2180181,2195259,2209576,2222954,2235227,2246299,2256148,2264827,2272426,2279079,2284935,2290116,2294729,2298825,2302454,2305593,2308147,2310033,2311161,2311433
Baja California Sur,33377,35041,36817,38704,40694,42773,44964,47257,49675,52207,54999,58181,61610,65207,68977,72897,76978,81229,85630,90205,94386,98010,101623,105276,108928,112806,117306,122200,127040,131768,136946,142904,149260,155808,162454,169342,177282,186292,195970,206262,215857,223870,231085,238207,245184,252200,259465,266928,274597,282302,290054,297556,305463,314181,322930,331692,340457,349177,357818,366321,374664,382838,390878,398765,406452,413958,421357,428681,435971,443228,450318,457191,463845,470276,476496,482516,488317,493932,499341,504564,509588,514419,519041,523451,527636,531586,535316,538803,542064,545088,547894,550486,552863,555046,557036,558834,560429,561845,563056,564071,564894
Campeche,66023,68959,72106,75432,78902,82552,86365,90364,94536,98889,103185,107202,111191,115333,119625,124037,128580,133250,138030,142933,148221,153963,159935,165978,172035,178238,183909,188818,193516,197952,202782,208418,214458,220659,226884,233014,238650,244064,250054,256522,263376,270897,278648,286253,293659,299059,302281,305210,308204,311067,313151,314746,317367,320896,324419,327977,331541,335094,338587,341969,345209,348340,351388,354251,356855,359225,361442,363550,365480,367190,368642,369818,370752,371472,371998,372354,372546,372620,372577,372428,372187,371852,371433,370930,370326,369617,368806,367885,366869,365751,364526,363221,361820,360341,358791,357170,355467,353702,351842,349906,347894
Chiapas,386040,395788,406326,417455,429089,441234,453904,467148,480927,495170,511754,533968,560249,587580,615920,645229,675555,706936,739257,772636,801212,822905,843106,863055,882381,903781,929659,957138,983567,1008649,1032921,1058374,1085838,1114138,1142466,1172080,1204145,1238401,1276072,1316755,1356694,1394847,1431888,1467882,1502527,1533151,1560263,1587340,1615078,1642392,1665667,1685952,1711578,1742265,1773463,1805232,1837327,1869433,1901101,1931982,1961935,1991118,2019699,2048338,2077429,2106896,2137276,2168762,2200758,2232760,2264042,2294115,2323083,2350914,2377700,2403555,2428552,2452778,2476326,2499279,2521684,2543557,2564882,2585622,2605728,2625157,2643903,2661977,2679404,2696235,2712534,2728345,2743691,2758602,2773099,2787160,2800751,2813839,2826361,2838255,2849483
Chihuahua,402214,409815,417979,426572,435506,444764,454317,464191,474359,484748,497857,515083,534218,554082,574600,595658,617274,639446,662078,685235,707436,728660,750292,771983,793480,814785,837307,860733,883268,904655,923123,939860,957573,975582,993261,1010278,1024568,1037167,1051815,1068039,1085288,1104218,1123107,1140798,1157159,1175948,1198416,1221659,1245515,1269132,1291959,1316754,1345924,1377240,1408508,1439262,1469135,1497846,1525260,1551409,1576458,1600734,1624688,1648238,1671098,1693379,1715397,1737128,1758443,1779244,1799051,1817514,1834561,1850258,1864768,1878309,1891113,1903396,1915345,1927089,1938658,1949995,1960951,1971264,1980684,1988998,1996075,2001893,2006493,2010004,2012600,2014441,2015706,2016532,2016983,2017099,2016863,2016167,2014880,2012864,2010027
Ciudad de México,1774145,1816557,1861308,1908384,1957415,2008413,2061299,2116226,2173042,2231323,2281144,2313819,2337790,2360226,2380835,2399055,2414927,2428428,2439015,2446902,2466030,2500760,2538030,2573478,2606326,2634716,2662229,2689728,2712507,2729936,2752570,2786089,2823263,2860475,2896102,2926739,2946374,2960190,2978416,2999679,3027320,3064778,3102995,3137542,3168125,3201474,3242132,3285422,3329671,3372905,3391218,3388859,3400885,3423729,3445263,3464989,3482540,3497617,3510025,3519619,3526504,3531256,3534507,3536734,3537400,3536065,3533375,3529488,3524407,3518412,3511117,3502114,3491414,3479064,3465331,3450436,3434770,3418539,3402052,3385456,3368796,3352002,3334861,3317079,3298331,3278380,3257074,3234382,3210418,3185377,3159466,3132980,3106121,3079068,3051952,3024822,2997664,2970359,2942753,2914667,2886029
Coahuila,283078,290701,299025,307809,316988,326559,336511,346886,357652,368787,381557,396583,412796,429668,447158,465172,483718,502835,522436,542597,560725,575981,590758,605421,619747,633174,646661,660527,673532,685499,698471,713975,730838,748057,765147,782197,799154,816536,835808,856656,878024,899722,920972,941500,961163,980143,998844,1017680,1037008,1056154,1073467,1090765,1111313,1133626,1155846,1177916,1199813,1221478,1242865,1263923,1284668,1305232,1325863,1346277,1365972,1384949,1403495,1421713,1439605,1457159,1474075,1490200,1505604,1520362,1534523,1548126,1561209,1573843,1586068,1597939,1609463,1620620,1631364,1641623,1651339,1660417,1668831,1676564,1683631,1690063,1695930,1701288,1706181,1710644,1714718,1718410,1721715,1724610,1727049,1728998,1730439
Colima,59407,61271,63265,65367,67573,69878,72290,74807,77436,80157,83054,86099,89273,92574,95980,99476,103073,106779,110581,114479,118438,122452,126533,130637,134721,138893,143402,148096,152668,157082,160917,164366,167972,171647,175293,179163,184376,190893,197940,205500,212571,218772,224597,230274,235777,240368,243909,247212,250599,253886,257101,260154,263661,267878,272088,276262,280385,284412,288305,292038,295587,298991,302279,305432,308354,311018,313485,315788,317931,319971,321864,323583,325159,326569,327850,328998,330046,331001,331873,332676,333406,334064,334639,335114,335480,335710,335795,335738,335549,335226,334792,334254,333623,332912,332116,331255,330316,329302,328201,327012,325730
Durango,227782,231130,234831,238748,242812,247026,251366,255853,260466,265181,270824,277733,285122,292720,300484,308359,316343,324441,332602,340857,349155,357358,365451,373374,380973,387536,392352,395914,398741,400753,404681,411626,419452,427432,435294,443465,452779,463192,474697,487144,499667,512299,524814,536913,548523,558367,566615,574799,583202,591422,598964,606753,616260,626838,637426,647945,658317,668442,678251,687685,696805,705693,714482,723035,731145,738909,746499,753922,760940,767443,773335,778574,783213,787323,790990,794313,797370,800255,803032,805729,808377,810959,813444,815772,817866,819673,821145,822279,823066,823543,823739,823716,823482,823078,822516,821817,820966,819937,818688,817181,815417
