Entidad,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
Estados Unidos Mexicanos,12311041,12658941,13031278,13424619,13839444,14275182,14729361,15206585,15709376,16236408,16784501,17353880,17946383,18556974,19182074,19820759,20473499,21140379,21819236,22510727,23215504,23930684,24651870,25372834,26088429,26794179,27488028,28171916,28844733,29503446,30161281,30843160,31552421,32282745,33025725,33795781,34616310,35488921,36372407,37242943,38112388,38980625,39836099,40672164,41473573,42224856,42946518,43674513,44425118,45178592,45845141,46415397,47057733,47781221,48496214,49203577,49903122,50592773,51267743,51922729,52554612,53164993,53757073,54329883,54877571,55398845,55902997,56394298,56870338,57331133,57771242,58187867,58583433,58957426,59309449,59639278,59946763,60231907,60494677,60735007,60952750,61148007,61321058,61472256,61601920,61710362,61797878,61864828,61911607,61938643,61946408,61935314,61905686,61857867,61792259,61709364,61609614,61493353,61360898,61212626,61049029
Aguascalientes,85116,88264,91651,95231,99017,102997,107171,111563,116204,121102,126487,132557,139093,145921,153010,160355,167978,175866,184009,192435,201011,209655,218446,227381,236399,245272,253604,261570,269515,277393,285775,294983,304653,314649,324899,335552,346075,356447,367013,377537,388330,399647,411157,422566,433722,444888,456284,467885,479857,491988,502931,512779,523239,534191,545082,555916,566728,577497,588199,598796,609252,619588,629850,639986,649740,659019,667947,676573,684919,693049,700927,708505,715859,722983,729877,736512,742859,748923,754715,760230,765469,770413,775074,779429,783510,787289,790781,793991,796907,799545,801890,803965,805771,807295,808560,809551,810299,810787,811023,811021,810777
Baja California,215908,223246,230918,239041,247620,256627,266040,275929,286348,297291,309458,323808,339761,356426,373720,391619,410127,429257,448992,469351,491196,515014,539974,565486,591414,617629,643635,669438,695414,721472,747272,773367,800469,828452,857101,887070,916146,944068,972503,1000794,1028453,1053885,1077471,1100486,1122567,1151442,1189706,1230575,1272801,1315818,1350670,1378112,1408197,1439838,1471204,1502250,1532993,1563426,1593445,1622909,1651750,1680024,1707848,1734967,1761055,1786118,1810433,1834111,1857251,1879956,1901989,1923276,1943879,1963779,1982955,2001385,2019060,2035950,2052041,2067337,2081795,2095420,2108206,2120163,2131281,2141576,2151055,2159713,2167566,2174611,2180870,2186349,2191060,2194988,2198164,2200590,2202286,2203271,2203544,2203118,2202014
Baja California Sur,30799,32340,33993,35741,37598,39556,41612,43796,46101,48544,51237,54263,57538,60965,64555,68292,72186,76233,80437,84797,88917,92670,96434,100255,104112,108020,111997,116020,120056,124084,128786,134378,140315,146462,152795,159574,167671,176984,186584,196357,205498,213272,220439,227591,234626,241659,248788,256050,263548,271167,278770,286160,293922,302295,310696,319130,327572,336028,344437,352753,360939,369001,376955,384740,392344,399782,407111,414364,421577,428748,435778,442634,449310,455797,462104,468222,474154,479892,485440,490782,495927,500860,505594,510108,514420,518514,522394,526058,529515,532751,535777,538589,541194,543583,545764,547746,549511,551083,552451,553623,554579
Campeche,63579,66433,69495,72732,76161,79764,83547,87541,91749,96197,100535,104493,108399,112456,116622,120899,125286,129785,134376,139086,144354,150343,156592,162928,169321,175849,181757,186920,192030,197071,202843,209595,216690,224034,231574,239226,246415,253268,260225,267106,274187,281858,289888,297870,305665,311709,315801,319581,323485,327359,330922,334199,338029,342446,346845,351249,355655,360060,364438,368728,372886,376944,380904,384666,388142,391359,394391,397273,399944,402376,404535,406421,408063,409466,410665,411667,412489,413139,413626,413947,414122,414143,414023,413766,413382,412862,412212,411418,410490,409440,408253,406936,405496,403916,402211,400382,398439,396384,394208,391927,389553
Chiapas,378214,386361,395151,404467,414297,424619,435374,446696,458632,471134,487126,510224,537804,566535,596354,627245,659264,692435,726713,762117,793054,817482,840487,863324,885739,910524,939689,970593,1001384,1031969,1063175,1096151,1130789,1166720,1203567,1242764,1284932,1329313,1374759,1420390,1464579,1506401,1547321,1587757,1626988,1660770,1689442,1717936,1747329,1776806,1807300,1838691,1872672,1909599,1946823,1984468,2022500,2060733,2098823,2136382,2173203,2209323,2244802,2280176,2315711,2351288,2387435,2424397,2461638,2498767,2535279,2570803,2605389,2638983,2671612,2703288,2734014,2763771,2792582,2820463,2847443,2873541,2898805,2923252,2946937,2969896,2992144,3013702,3034596,3054821,3074388,3093275,3111459,3128937,3145684,3161693,3176946,3191438,3205175,3218146,3230345
Chihuahua,401884,410615,419923,429759,440107,450923,462115,473812,486072,498840,513568,531123,550181,569884,590106,610789,631920,653492,675435,697759,719939,742166,764906,787725,810456,832481,853714,874658,895297,915520,934531,952942,971978,991543,1011382,1031944,1051312,1069396,1087459,1104756,1122868,1142646,1162591,1181725,1199672,1219256,1241617,1264621,1288317,1312114,1335157,1358594,1384553,1411871,1438871,1465488,1491703,1517470,1542700,1567333,1591349,1614799,1637842,1660160,1681239,1701047,1719874,1737830,1755053,1771798,1787946,1803416,1818206,1832295,1845703,1858408,1870418,1881712,1892290,1902127,1911201,1919512,1927041,1933800,1939775,1944978,1949417,1953094,1956015,1958177,1959611,1960325,1960336,1959660,1958306,1956300,1953666,1950415,1946550,1942110,1937090
Ciudad de México,1987598,2036078,2087065,2140684,2196986,2255819,2316730,2380286,2446733,2515679,2574247,2612205,2640339,2666300,2689491,2709713,2726878,2740894,2751330,2758139,2778240,2817156,2858922,2898507,2935505,2967479,2996673,3025341,3050865,3072936,3101115,3139191,3179523,3220514,3261520,3301359,3335619,3366324,3395477,3420841,3450761,3489356,3529026,3565762,3598470,3631065,3667544,3705850,3745305,3784450,3805814,3810026,3821291,3838867,3854914,3869338,3882280,3893684,3903422,3911192,3916813,3920490,3922456,3922817,3920769,3915668,3908113,3898450,3887022,3874525,3861144,3846741,3831339,3814951,3797597,3779298,3760007,3739754,3718512,3696315,3673134,3648976,3623860,3597780,3570755,3542834,3514049,3484427,3453981,3422801,3390900,3358344,3325179,3291453,3257197,3222499,3187363,3151860,3116022,3079870,3043469
Coahuila,281292,289305,298033,307261,316992,327196,337826,348984,360727,373050,386835,402490,419206,436578,454514,472968,491944,511449,531453,551970,570907,587549,603744,619832,635706,650333,663607,676477,688943,700928,714581,730922,748301,766209,784431,803805,824563,846246,868221,889915,911361,932123,952168,971761,990506,1008729,1026987,1045500,1064583,1083779,1102277,1120912,1141292,1162565,1183643,1204613,1225530,1246414,1267236,1287926,1308399,1328715,1349015,1368989,1388135,1406408,1424076,1441237,1457955,1474335,1490218,1505516,1520315,1534630,1548484,1561852,1574704,1587028,1598810,1610067,1620772,1630932,1640546,1649603,1658118,1666076,1673489,1680350,1686663,1692441,1697687,1702412,1706622,1710321,1713525,1716247,1718492,1720273,1721596,1722471,1722913
Colima,59373,61285,63340,65505,67798,70215,72724,75381,78180,81124,84211,87425,90748,94193,97740,101382,105128,108964,112903,116925,121095,125414,129817,134243,138673,143191,147966,152925,157886,162832,167258,171192,175206,179324,183522,187943,193615,200518,207574,214662,221525,227976,234229,240436,246477,251395,255064,258528,262093,265640,269149,272394,275973,280152,284299,288413,292487,296511,300449,304270,307958,311508,314958,318240,321259,323959,326400,328634,330678,332585,334378,336039,337579,338998,340297,341479,342534,343464,344283,344974,345537,345979,346282,346472,346541,346473,346287,345972,345555,345011,344357,343579,342688,341693,340573,339357,338036,336618,335092,333478,331767
Durango,221106,225104,229479,234126,239022,244142,249445,254998,260833,266923,273981,282238,290999,300005,309196,318541,328041,337677,347431,357296,366574,374986,383124,391036,398648,405529,411410,416675,421535,425942,431840,439915,448564,457478,466503,476155,486924,498536,510272,521795,533316,545166,557174,568912,580153,589706,597646,605424,613457,621470,629485,637973,647510,657737,667902,678027,688104,698123,708000,717667,727091,736302,745338,754034,762205,769878,777219,784294,790925,797015,802566,807618,812233,816471,820369,823963,827268,830316,833109,835656,837967,840033,841863,843469,844848,845987,846885,847542,847957,848124,848046,847722,847151,846323,845253,843937,842384,840596,838587,836342,833887
Guanajuato,551982,564888,578806,593511,609020,625316,642250,660031,678774,698396,721824,751686,785385,820461,856780,894327,933133,973247,1014585,1057187,1095956,1129009,1160852,1192474,1223596,1254243,1285114,1316124,1346544,1376237,1406536,1438716,1472291,1506894,1542072,1579700,1624640,1676013,1728415,1780708,1830351,1874601,1915697,1955788,1994137,2030435,2065740,2101374,2138072,2174854,2209181,2239594,2273036,2310867,2348171,2385048,2421518,2457543,2492913,2527450,2561076,2593834,2625957,2657510,2688281,2718218,2747763,2777130,2805841,2833558,2859908,2884638,2907885,2929707,2950179,2969381,2987340,3004070,3019623,3034025,3047295,3059463,3070571,3080640,3089707,3097779,3104904,3111065,3116288,3120573,3123942,3126377,3127890,3128476,3128141,3126887,3124729,3121669,3117725,3112906,3107221
Guerrero,395206,403539,412465,421905,431842,442274,453111,464481,476468,488998,502712,518699,536381,554647,573403,592626,612361,632632,653366,674588,694855,713585,731943,750104,767864,785860,804407,822879,840954,858579,874393,888782,903527,918661,933899,951091,973071,998577,1024443,1050018,1075533,1100314,1124074,1147193,1169207,1185248,1195103,1204073,1213272,1222133,1230117,1237272,1245878,1256091,1266082,1275929,1285520,1294733,1303361,1311248,1318357,1324708,1330362,1335609,1340619,1345321,1349971,1354662,1359010,1362666,1365425,1367271,1368333,1368678,1368352,1367419,1365917,1363849,1361262,1358179,1354641,1350674,1346311,1341576,1336481,1331044,1325263,1319169,1312767,1306057,1299055,1291757,1284171,1276283,1268128,1259691,1250987,1242007,1232771,1223281,1213548
Hidalgo,298428,303871,309819,316075,322667,329578,336710,344184,352028,360220,369796,381778,395215,409112,423404,438080,453163,468656,484493,500681,517087,533473,549839,566163,582355,598746,615691,632843,649831,666599,683265,700283,717869,735979,754425,773643,797109,824971,853485,882085,909045,933113,955885,978267,999901,1021500,1043858,1066817,1090517,1114461,1136775,1157302,1179816,1204481,1229192,1253946,1278661,1303200,1327364,1350948,1373867,1396113,1417719,1438542,1458370,1477263,1495473,1513139,1530178,1546604,1562352,1577388,1591804,1605602,1618755,1631269,1643131,1654331,1664884,1674771,1683990,1692514,1700358,1707502,1713953,1719704,1724735,1729065,1732682,1735590,1737819,1739365,1740235,1740453,1740013,1738959,1737290,1735000,1732122,1728666,1724648
