ENTIDAD,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
Aguascalientes,165109,171152,177667,184549,191800,199420,207385,215756,224560,233798,243982,255484,267855,280774,294201,308109,322550,337516,352949,368933,385323,402001,419021,436310,453750,470764,486283,500651,514722,528395,543432,560754,579188,598200,617513,637362,656881,676247,696667,717809,739995,763799,788164,812304,835986,858727,880760,902997,925911,948991,969403,987679,1007864,1029490,1050989,1072369,1093636,1114746,1135613,1156196,1176447,1196462,1216373,1236069,1255056,1273151,1290616,1307526,1323910,1339898,1355358,1370146,1384424,1398193,1411459,1424208,1436392,1448062,1459242,1469958,1480223,1489986,1499224,1507923,1516073,1523631,1530581,1536934,1542686,1547858,1552474,1556552,1560137,1563216,1565821,1567954,1569641,1570860,1571594,1571854,1571627
Baja California,431463,445327,459830,475164,491280,508147,525767,544195,563509,583692,607387,636987,670234,705033,741290,778889,817863,858269,900024,943232,988707,1037222,1087990,1139890,1192611,1246061,1300152,1354531,1408749,1462478,1514636,1566908,1621519,1677657,1734591,1793042,1848282,1900689,1956038,2013291,2068062,2116158,2159479,2201131,2240630,2298061,2379686,2467600,2558402,2650710,2723945,2780159,2843020,2910157,2976906,3042847,3107755,3171444,3233636,3294136,3352948,3410414,3466968,3522353,3576081,3628289,3679579,3730059,3779705,3828453,3875474,3920422,3963397,4004400,4043524,4080903,4116684,4151016,4184014,4215793,4246341,4275601,4303465,4329739,4354235,4376803,4397354,4415861,4432393,4447037,4459949,4471284,4481176,4489717,4496989,4503044,4507879,4511418,4513577,4514279,4513447
Baja California Sur,64176,67381,70810,74445,78292,82329,86576,91053,95776,100751,106236,112444,119148,126172,133532,141189,149164,157462,166067,175002,183303,190680,198057,205531,213040,220826,229303,238220,247096,255852,265732,277282,289575,302270,315249,328916,344953,363276,382554,402619,421355,437142,451524,465798,479810,493859,508253,522978,538145,553469,568824,583716,599385,616476,633626,650822,668029,685205,702255,719074,735603,751839,767833,783505,798796,813740,828468,843045,857548,871976,886096,899825,913155,926073,938600,950738,962471,973824,984781,995346,1005515,1015279,1024635,1033559,1042056,1050100,1057710,1064861,1071579,1077839,1083671,1089075,1094057,1098629,1102800,1106580,1109940,1112928,1115507,1117694,1119473
Campeche,129602,135392,141601,148164,155063,162316,169912,177905,186285,195086,203720,211695,219590,227789,236247,244936,253866,263035,272406,282019,292575,304306,316527,328906,341356,354087,365666,375738,385546,395023,405625,418013,431148,444693,458458,472240,485065,497332,510279,523628,537563,552755,568536,584123,599324,610768,618082,624791,631689,638426,644073,648945,655396,663342,671264,679226,687196,695154,703025,710697,718095,725284,732292,738917,744997,750584,755833,760823,765424,769566,773177,776239,778815,780938,782663,784021,785035,785759,786203,786375,786309,785995,785456,784696,783708,782479,781018,779303,777359,775191,772779,770157,767316,764257,761002,757552,753906,750086,746050,741833,737447
Chiapas,764254,782149,801477,821922,843386,865853,889278,913844,939559,966304,998880,1044192,1098053,1154115,1212274,1272474,1334819,1399371,1465970,1534753,1594266,1640387,1683593,1726379,1768120,1814305,1869348,1927731,1984951,2040618,2096096,2154525,2216627,2280858,2346033,2414844,2489077,2567714,2650831,2737145,2821273,2901248,2979209,3055639,3129515,3193921,3249705,3305276,3362407,3419198,3472967,3524643,3584250,3651864,3720286,3789700,3859827,3930166,3999924,4068364,4135138,4200441,4264501,4328514,4393140,4458184,4524711,4593159,4662396,4731527,4799321,4864918,4928472,4989897,5049312,5106843,5162566,5216549,5268908,5319742,5369127,5417098,5463687,5508874,5552665,5595053,5636047,5675679,5714000,5751056,5786922,5821620,5855150,5887539,5918783,5948853,5977697,6005277,6031536,6056401,6079828
Chihuahua,804098,820430,837902,856331,875613,895687,916432,938003,960431,983588,1011425,1046206,1084399,1123966,1164706,1206447,1249194,1292938,1337513,1382994,1427375,1470826,1515198,1559708,1603936,1647266,1691021,1735391,1778565,1820175,1857654,1892802,1929551,1967125,2004643,2042222,2075880,2106563,2139274,2172795,2208156,2246864,2285698,2322523,2356831,2395204,2440033,2486280,2533832,2581246,2627116,2675348,2730477,2789111,2847379,2904750,2960838,3015316,3067960,3118742,3167807,3215533,3262530,3308398,3352337,3394426,3435271,3474958,3513496,3551042,3586997,3620930,3652767,3682553,3710471,3736717,3761531,3785108,3807635,3829216,3849859,3869507,3887992,3905064,3920459,3933976,3945492,3954987,3962508,3968181,3972211,3974766,3976042,3976192,3975289,3973399,3970529,3966582,3961430,3954974,3947117
Ciudad de México,3761743,3852635,3948373,4049068,4154401,4264232,4378029,4496512,4619775,4747002,4855391,4926024,4978129,5026526,5070326,5108768,5141805,5169322,5190345,5205041,5244270,5317916,5396952,5471985,5541831,5602195,5658902,5715069,5763372,5802872,5853685,5925280,6002786,6080989,6157622,6228098,6281993,6326514,6373893,6420520,6478081,6554134,6632021,6703304,6766595,6832539,6909676,6991272,7074976,7157355,7197032,7198885,7222176,7262596,7300177,7334327,7364820,7391301,7413447,7430811,7443317,7451746,7456963,7459551,7458169,7451733,7441488,7427938,7411429,7392937,7372261,7348855,7322753,7294015,7262928,7229734,7194777,7158293,7120564,7081771,7041930,7000978,6958721,6914859,6869086,6821214,6771123,6718809,6664399,6608178,6550366,6491324,6431300,6370521,6309149,6247321,6185027,6122219,6058775,5994537,5929498
Coahuila,564370,580006,597058,615070,633980,653755,674337,695870,718379,741837,768392,799073,832002,866246,901672,938140,975662,1014284,1053889,1094567,1131632,1163530,1194502,1225253,1255453,1283507,1310268,1337004,1362475,1386427,1413052,1444897,1479139,1514266,1549578,1586002,1623717,1662782,1704029,1746571,1789385,1831845,1873140,1913261,1951669,1988872,2025831,2063180,2101591,2139933,2175744,2211677,2252605,2296191,2339489,2382529,2425343,2467892,2510101,2551849,2593067,2633947,2674878,2715266,2754107,2791357,2827571,2862950,2897560,2931494,2964293,2995716,3025919,3054992,3083007,3109978,3135913,3160871,3184878,3208006,3230235,3251552,3271910,3291226,3309457,3326493,3342320,3356914,3370294,3382504,3393617,3403700,3412803,3420965,3428243,3434657,3440207,3444883,3448645,3451469,3453352
Colima,118780,122556,126605,130872,135371,140093,145014,150188,155616,161281,167265,173524,180021,186767,193720,200858,208201,215743,223484,231404,239533,247866,256350,264880,273394,282084,291368,301021,310554,319914,328175,335558,343178,350971,358815,367106,377991,391411,405514,420162,434096,446748,458826,470710,482254,491763,498973,505740,512692,519526,526250,532548,539634,548030,556387,564675,572872,580923,588754,596308,603545,610499,617237,623672,629613,634977,639885,644422,648609,652556,656242,659622,662738,665567,668147,670477,672580,674465,676156,677650,678943,680043,680921,681586,682021,682183,682082,681710,681104,680237,679149,677833,676311,674605,672689,670612,668352,665920,663293,660490,657497
Durango,448888,456234,464310,472874,481834,491168,500811,510851,521299,532104,544805,559971,576121,592725,609680,626900,644384,662118,680033,698153,715729,732344,748575,764410,779621,793065,803762,812589,820276,826695,836521,851541,868016,884910,901797,919620,939703,961728,984969,1008939,1032983,1057465,1081988,1105825,1128676,1148073,1164261,1180223,1196659,1212892,1228449,1244726,1263770,1284575,1305328,1325972,1346421,1366565,1386251,1405352,1423896,1441995,1459820,1477069,1493350,1508787,1523718,1538216,1551865,1564458,1575901,1586192,1595446,1603794,1611359,1618276,1624638,1630571,1636141,1641385,1646344,1650992,1655307,1659241,1662714,1665660,1668030,1669821,1671023,1671667,1671785,1671438,1670633,1669401,1667769,1665754,1663350,1660533,1657275,1653523,1649304
