Edad,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
0,1149030,1168292,1201752,1242051,1291022,1345388,1392059,1437341,1487892,1544015,1601353,1656639,1709566,1762580,1815236,1863762,1908498,1954789,2004768,2055474,2101069,2145297,2190434,2230073,2259096,2273718,2273169,2263285,2254671,2253269,2259742,2272442,2290705,2312175,2334181,2353905,2368480,2381110,2396293,2414553,2437445,2462595,2477407,2476556,2464615,2444999,2421575,2402169,2395354,2400468,2403045,2391026,2366279,2339143,2319353,2309835,2310619,2319971,2331377,2336688,2330140,2311075,2283405,2257759,2237888,2213955,2176963,2138294,2121211,2117912,2111632,2099100,2073914,2046960,2026101,2004194,1981566,1958553,1935457,1912534,1889787,1867010,1844074,1821281,1799008,1777261,1755913,1734817,1713909,1693292,1672972,1653013,1633485,1614231,1595087,1576028,1557177,1538683,1520452,1502245,1484022,1465950,1448222,1430800,1413446,1396100,1378898,1362011,1345453,1329057,1312755,1296597,1280668,1265020,1249589,1234322,1219221,1204309,1189615,1175127,1160822
1,1042152,1057393,1078805,1112796,1155183,1209454,1265010,1313390,1360078,1411313,1467157,1523814,1578832,1631939,1685238,1738296,1787294,1832281,1878880,1929401,1977695,2024966,2075003,2122611,2164455,2196143,2214169,2217329,2210882,2205914,2208138,2217441,2232253,2252321,2275434,2298831,2319611,2335111,2348878,2364215,2382814,2407729,2434443,2450270,2450683,2439944,2421219,2398106,2378447,2370743,2376355,2381844,2372706,2349621,2323190,2305040,2298720,2302704,2313278,2324515,2329682,2322814,2302427,2273768,2247147,2225368,2200720,2164658,2127611,2111188,2104453,2095010,2087221,2066714,2040039,2019330,1997510,1974956,1952026,1929042,1906263,1883689,1861109,1838388,1815817,1793765,1772226,1751061,1730113,1709317,1688780,1668517,1648608,1629130,1609933,1590860,1571882,1553124,1534730,1516606,1498505,1480384,1462404,1444750,1427386,1410076,1392765,1375594,1358738,1342218,1325865,1309615,1293515,1277651,1262070,1246704,1231499,1216454,1201588,1186930,1172472
2,976393,994883,1011865,1034928,1070532,1116463,1171828,1228473,1277734,1325201,1376562,1432190,1488947,1544374,1597965,1651912,1705593,1754984,1800485,1847830,1896819,1946175,1997453,2049147,2097997,2140947,2173817,2192870,2196660,2191143,2187289,2190210,2199878,2215037,2235438,2258681,2281895,2302326,2317647,2331396,2346817,2365482,2390416,2417422,2433795,2434748,2424271,2405295,2381482,2360639,2353106,2361065,2368854,2360981,2338414,2313536,2298435,2295142,2300269,2310670,2321738,2326515,2318291,2296881,2267284,2238905,2216460,2192614,2157971,2121515,2105531,2099419,2090134,2082413,2062047,2035425,2014698,1992855,1970294,1947389,1924466,1901782,1879328,1856889,1834320,1811907,1790004,1768590,1747521,1726635,1705871,1685347,1665092,1645194,1625737,1606575,1587551,1568635,1549949,1531636,1513593,1495570,1477517,1459590,1441975,1424634,1407339,1390042,1372886,1356050,1339557,1323241,1307035,1290986,1275175,1259647,1244332,1229171,1214159,1199319,1184680
3,929303,949434,968723,986864,1011163,1048849,1095468,1151350,1208047,1257614,1305203,1356556,1412194,1469027,1524571,1578413,1632505,1686217,1735561,1781128,1827528,1876876,1928067,1980171,2032720,2082172,2125430,2158454,2177865,2182272,2177382,2174023,2177242,2187085,2202305,2222548,2245432,2268186,2288208,2303291,2316915,2332348,2351111,2376225,2403563,2420227,2421184,2410293,2390524,2365531,2344893,2339620,2349671,2358525,2351085,2329995,2308072,2295916,2293712,2298557,2308690,2319352,2322820,2313634,2291365,2260171,2231231,2209562,2187002,2152881,2116845,2101415,2095469,2086262,2078607,2058236,2031568,2010784,1988904,1966339,1943471,1920616,1898028,1875691,1853383,1830951,1808667,1786874,1765541,1744518,1723649,1702885,1682355,1662098,1642209,1622775,1603653,1584680,1565828,1547215,1528974,1511002,1493040,1475034,1457139,1439541,1422208,1404919,1387630,1370490,1353676,1337214,1320938,1304777,1288778,1273016,1257534,1242258,1227127,1212138,1197313
4,891151,912045,932523,952499,971525,997222,1035356,1082295,1137987,1194697,1244293,1291928,1343268,1398851,1455637,1511216,1564986,1618966,1672392,1721483,1766357,1812827,1863076,1914706,1967440,2020350,2069778,2112864,2146086,2165909,2170691,2166173,2163073,2166413,2176231,2191216,2211057,2233451,2255725,2275409,2290280,2303893,2319438,2338361,2363755,2391274,2407799,2408260,2396527,2375597,2350816,2332406,2329163,2340218,2349457,2343403,2325178,2306112,2295005,2292479,2297019,2306745,2316164,2318712,2308717,2284954,2253285,2225103,2204639,2182537,2148782,2113285,2098038,2092159,2082995,2075294,2054847,2028118,2007281,1985385,1962844,1940032,1917263,1894780,1872563,1850381,1828070,1805889,1784168,1762875,1741862,1720985,1700208,1679668,1659415,1639544,1620143,1601067,1582153,1563369,1544825,1526651,1508736,1490816,1472836,1454955,1437361,1420031,1402747,1385468,1368347,1351562,1335137,1318902,1302788,1286834,1271117,1255671,1240422,1225310,1210333
5,858146,879280,900292,921183,941750,961713,987759,1026102,1072824,1128452,1185091,1234701,1282305,1333552,1389026,1445739,1501128,1554715,1608326,1661348,1709847,1754645,1801550,1852033,1904143,1957095,2009836,2058957,2102149,2135635,2155656,2160682,2156372,2153378,2156678,2166246,2180829,2200191,2222084,2243980,2263394,2278223,2291938,2307628,2326834,2352391,2379703,2395667,2395258,2382363,2361620,2339008,2322595,2320385,2331824,2342372,2339057,2323586,2305525,2294074,2291233,2295373,2303917,2312469,2314256,2302861,2278656,2247718,2220684,2200645,2178869,2145609,2110318,2095146,2089291,2080070,2072264,2051736,2024955,2004094,1982213,1959721,1936987,1914316,1891946,1869849,1847783,1825569,1803457,1781772,1760483,1739457,1718562,1697770,1677230,1656991,1637148,1617790,1598770,1579920,1561202,1542722,1524603,1506725,1488830,1470861,1452980,1435386,1418057,1400781,1383519,1366424,1349672,1333288,1317096,1301026,1285114,1269429,1254010,1238778,1223675
6,825940,849604,870734,891989,913284,934449,954654,980874,1019011,1065681,1121227,1177819,1227356,1274852,1325980,1381334,1437800,1492960,1546150,1599308,1651800,1700107,1745065,1792091,1842935,1895175,1947903,2000282,2049442,2092797,2126373,2146515,2151670,2147451,2144419,2147466,2156650,2170776,2189650,2211163,2232755,2252094,2267005,2280862,2296824,2316205,2341564,2368283,2383337,2381760,2369023,2350352,2329687,2314320,2312554,2325272,2338421,2337739,2323224,2304816,2293038,2289809,2292830,2300563,2308406,2308872,2297051,2273535,2243689,2217077,2197339,2176004,2142940,2107744,2092597,2086671,2077342,2069432,2048839,2022036,2001183,1979346,1956925,1934284,1911723,1889468,1867483,1845510,1823362,1801281,1779598,1758294,1737245,1716332,1695536,1675005,1654792,1634990,1615686,1596727,1577941,1559286,1540857,1522774,1504918,1487030,1469060,1451176,1433582,1416258,1398996,1381758,1364695,1347982,1331637,1315490,1299458,1283578,1267917,1252512,1237288
7,794618,819526,843101,864372,885909,907597,928902,949226,975287,1013388,1060011,1115507,1171977,1221374,1268750,1319752,1374846,1431061,1485809,1538537,1591222,1643447,1691734,1736733,1784036,1834966,1886958,1939309,1991674,2040953,2084325,2117927,2138109,2143296,2139028,2135767,2138459,2147208,2160880,2179387,2200600,2222097,2241478,2256510,2270629,2286771,2305993,2330792,2356598,2370477,2369001,2358230,2341415,2321781,2306922,2306441,2321658,2337308,2337530,2322659,2303929,2291775,2287481,2289744,2296820,2303428,2303485,2292297,2269800,2240369,2214057,2194738,2173581,2140603,2105447,2090236,2084196,2074762,2066764,2046137,2019345,1998530,1976757,1954425,1931890,1909442,1887296,1865403,1843493,1821375,1799294,1777592,1756262,1735192,1714271,1693482,1672975,1652801,1633051,1613806,1594910,1576184,1557579,1539185,1521122,1503272,1485380,1467405,1449519,1431927,1414617,1397376,1380168,1363142,1346470,1330166,1314055,1298054,1282196,1266549,1251151
8,768082,789613,814394,838030,859500,881301,903073,924431,944614,970672,1008751,1055354,1110730,1167023,1216285,1263534,1314287,1369129,1424939,1479227,1531521,1583915,1636010,1684251,1729455,1776815,1827495,1879118,1931437,1983886,2033124,2076466,2110036,2130193,2135303,2130804,2127209,2129507,2137826,2151155,2169381,2190492,2212014,2231486,2246767,2261061,2277060,2295781,2319728,2344367,2358277,2358645,2349636,2333820,2314709,2301141,2303084,2320686,2337191,2337057,2321864,2302764,2289595,2284592,2286255,2292176,2298402,2299044,2288805,2266708,2237559,2211659,2192515,2171426,2138484,2103285,2087968,2081818,2072297,2064246,2043617,2016866,1996110,1974423,1952194,1929768,1907427,1885372,1863541,1841659,1819540,1797438,1775708,1754354,1733274,1712358,1691591,1671123,1650997,1631306,1612124,1593286,1574610,1556039,1537664,1519605,1501749,1483851,1465870,1447987,1430405,1413114,1395903,1378731,1361744,1345111,1328843,1312762,1296782,1280937,1265295
9,743507,764003,785415,810212,833978,855630,877483,899268,920480,940663,966735,1004816,1051335,1106541,1162673,1211792,1258806,1309323,1363784,1419149,1473035,1525029,1577225,1629202,1677576,1722808,1769940,1820260,1871829,1924213,1976604,2025766,2069020,2102519,2122553,2127399,2122576,2118615,2120525,2128534,2141613,2159738,2180862,2202464,2222163,2237598,2251776,2267313,2285244,2308100,2332736,2348351,2350374,2342303,2326997,2309170,2297961,2302202,2320619,2336762,2336309,2320753,2300680,2286843,2281280,2281861,2287440,2294202,2295728,2285874,2264030,2235282,2209568,2190499,2169441,2136458,2101176,2085761,2079519,2069943,2061872,2041270,2014582,1993905,1972315,1950192,1927873,1905622,1883629,1861826,1839944,1817804,1795674,1773919,1752553,1731476,1710580,1689849,1669429,1649362,1629732,1610608,1591818,1573176,1554623,1536251,1518186,1500323,1482418,1464438,1446564,1429002,1411739,1394562,1377428,1360479,1343882,1327643,1311582,1295614,1279774
