Edad,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
0,580871,590635,607681,628132,653135,681057,704873,727988,753757,782328,811492,839600,866509,893470,920256,944944,967696,991225,1016630,1042422,1065503,1088005,1111079,1131239,1146018,1153502,1153306,1148387,1144107,1143502,1146922,1153492,1162879,1173891,1185185,1195340,1202896,1209482,1217384,1226728,1238443,1251543,1259330,1259034,1253104,1243235,1231406,1221610,1218166,1220762,1222259,1216407,1203969,1190142,1179931,1174839,1175024,1179701,1185963,1189299,1186154,1176579,1162511,1149416,1139340,1127238,1108479,1088809,1080101,1078390,1075489,1069561,1056448,1042374,1031809,1020678,1009154,997425,985651,973972,962395,950816,939169,927607,916320,905306,894493,883800,873188,862706,852360,842187,832229,822412,812656,802951,793359,783956,774693,765446,756192,747012,738002,729140,720304,711465,702695,694084,685642,677285,668980,660753,652647,644687,636839,629075,621393,613804,606322,598941,591649
1,525478,533262,544204,561504,582993,610778,639269,663881,687721,713797,742216,771005,798896,825872,852987,879903,904717,927538,951184,976796,1001227,1025118,1050593,1074866,1096180,1112372,1121624,1123441,1120358,1117966,1119272,1124186,1131854,1142153,1154025,1166107,1176887,1185033,1192321,1200379,1209972,1222838,1236788,1245147,1245590,1240323,1230909,1219204,1209146,1205058,1208070,1211354,1206964,1194957,1180959,1170941,1166944,1168497,1174604,1181933,1185491,1182365,1172090,1157396,1143833,1132901,1120546,1102270,1083364,1074869,1071048,1066431,1063227,1052727,1038828,1028339,1017227,1005707,993984,982238,970615,959122,947652,936136,924720,913584,902715,892027,881428,870875,860421,850082,839909,829953,820148,810419,800754,791216,781878,772688,763515,754331,745211,736245,727411,718589,709756,700988,692381,683950,675611,667334,659142,651077,643162,635358,627634,619987,612423,604957,597585
2,492568,501972,510723,522494,540544,563849,592164,621112,646183,670383,696536,724851,753636,781733,808985,836364,863488,888455,911515,935481,960240,985140,1010993,1037234,1062133,1084014,1100773,1110581,1112702,1110024,1108171,1109799,1114849,1122636,1133077,1145039,1157065,1167730,1175848,1183197,1191374,1201031,1213882,1228010,1236713,1237456,1232302,1222710,1210506,1199644,1195784,1200263,1204725,1200634,1188412,1174596,1165631,1162926,1165830,1172931,1180457,1183991,1180153,1169238,1154089,1139736,1128566,1116632,1099019,1080289,1071893,1068447,1063966,1060828,1050425,1036548,1026020,1014859,1003295,991552,979815,968231,956802,945421,934010,922709,911684,900907,890284,879716,869165,858694,848331,838139,828175,818377,808670,799042,789553,780273,771143,762027,752890,743803,734854,726023,717196,708356,699584,690978,682556,674237,665987,657829,649801,641923,634154,626458,618829,611276,603814
3,469166,479364,489210,498519,510854,529937,553574,582099,611069,636278,660538,686694,714997,743816,771972,799306,826689,853778,878691,901737,925185,950084,975855,1002094,1028737,1053915,1075921,1092732,1102652,1105017,1102625,1100982,1102719,1107832,1115645,1126023,1137838,1149677,1160189,1168257,1175636,1183867,1193570,1206563,1220933,1229801,1230528,1225121,1214995,1201996,1191371,1188920,1194479,1199156,1194828,1182784,1169996,1162298,1160876,1164658,1171884,1179368,1182216,1177769,1166433,1150575,1136034,1125272,1113943,1096473,1077841,1069778,1066473,1062067,1058985,1048574,1034645,1024051,1012832,1001233,989486,977773,966240,954886,943597,932289,921088,910147,899427,888827,878253,867677,857176,846787,836579,826616,816835,807159,797575,788140,778915,769838,760765,751657,742584,733635,724795,715957,707108,698335,689736,681330,673035,664816,656693,648701,640855,633111,625432,617812,610261
4,450189,460742,471135,481306,491015,504032,523333,547109,575535,604506,629725,654013,680163,708435,737221,765365,792616,819896,846812,871561,894230,917688,943001,968977,995503,1022293,1047430,1069307,1086138,1096197,1098719,1096475,1094924,1096706,1101806,1109516,1119726,1131333,1142981,1153394,1161448,1168870,1177154,1186994,1200203,1214679,1223458,1223897,1217934,1207029,1194267,1185027,1183622,1189381,1193822,1189650,1178604,1167052,1160585,1159970,1163839,1171013,1177846,1180113,1175268,1163268,1147258,1133113,1122917,1111705,1094313,1076007,1068093,1064858,1060498,1057387,1046910,1032915,1022256,1010996,999387,987658,975991,964526,953258,942066,930854,919733,908845,898145,887535,876933,866323,855791,845385,835175,825225,815472,805838,796305,786923,777749,768713,759667,750570,741495,732535,723682,714834,705981,697213,688629,680246,671980,663795,655705,647744,639922,632193,624521,616901
5,433733,444383,455008,465595,476030,486194,499383,518781,542448,570842,599771,625003,649283,675384,703589,732317,760333,787450,814517,841200,865628,888242,911890,937310,963499,990097,1016781,1041716,1063564,1080462,1090587,1093193,1091019,1089508,1091272,1096261,1103800,1113806,1125211,1136732,1147103,1155186,1162658,1171067,1181119,1194427,1208775,1217234,1217106,1210374,1199685,1188271,1180057,1178889,1184433,1189016,1185789,1175932,1165561,1159843,1159297,1163108,1169666,1175950,1177842,1172371,1160228,1144597,1130991,1120908,1109759,1092672,1074526,1066684,1063487,1059094,1055903,1045351,1031293,1020590,1009316,997722,986034,974431,963048,951874,940775,929641,918571,907701,896989,886349,875710,865067,854516,844105,833907,823983,814270,804684,795203,785871,776737,767725,758689,749589,740501,731527,722662,713809,704960,696205,687642,679288,671054,662901,654841,646902,639095,631372,623699
6,417557,429534,440191,450930,461697,472423,482708,495983,515278,538924,567271,596181,621388,645613,671641,699769,728349,756213,783105,809918,836316,860633,883304,907003,932581,958803,985266,1011723,1036602,1058468,1075377,1085526,1088159,1086018,1084491,1086143,1090969,1098318,1108127,1119401,1130863,1141239,1149358,1156947,1165560,1175714,1188901,1202916,1210793,1209898,1203363,1193961,1183547,1175595,1174271,1179966,1185435,1183333,1174602,1164936,1159274,1158671,1161898,1167941,1173873,1175175,1169564,1157778,1142655,1129168,1119142,1108272,1091338,1073272,1065468,1062233,1057761,1054484,1043863,1029764,1019044,1007782,996225,984599,973076,961784,950701,939678,928593,917540,906657,895913,885234,874561,863897,853339,842938,832765,822880,813214,803679,794247,784953,775843,766840,757799,748686,739582,730595,721723,712873,704036,695302,686766,678442,670241,662116,654078,646153,638350,630626
7,401725,414381,426320,437044,447909,458868,469667,480014,493211,512494,536112,564439,593299,618436,642588,668539,696517,724938,752572,779209,805766,832017,856307,878985,902804,928392,954469,980709,1007084,1031967,1053808,1070689,1080821,1083456,1081294,1079667,1081170,1085820,1092987,1102671,1113884,1125334,1135725,1143950,1151735,1160451,1170504,1183371,1196807,1203922,1203189,1197875,1189429,1179279,1171225,1170089,1176645,1183168,1182129,1174060,1164444,1158718,1157560,1160309,1166027,1171404,1172565,1167277,1155966,1140967,1127545,1117785,1107056,1090198,1072178,1064341,1061026,1056470,1053112,1042445,1028331,1017620,1006392,994894,983345,971912,960709,949701,938726,927658,916591,905675,894891,884177,873480,862808,852259,841882,831747,821908,812292,802805,793410,784140,775038,766030,756974,747844,738726,729731,720862,712022,703205,694497,685992,677699,669525,661421,653396,645475,637671
8,388289,399224,411821,423790,434604,445599,456605,467435,477713,490914,510183,533796,562074,590846,615904,639981,665791,693612,721808,749190,775591,801986,828153,852408,875175,898991,924437,950296,976456,1002822,1027651,1049433,1066266,1076369,1078964,1076699,1074934,1076287,1080763,1087816,1097443,1108641,1120100,1130577,1138984,1146869,1155492,1165255,1177580,1190265,1197500,1197919,1193510,1185323,1175096,1167262,1166972,1174533,1182059,1181639,1173607,1163926,1157677,1156068,1158519,1163721,1168963,1170418,1165577,1154385,1139449,1126287,1116664,1106004,1089192,1071151,1063239,1059839,1055204,1051789,1041100,1026997,1016317,1005145,993723,982261,970915,959788,948828,937869,926787,915687,904730,893909,883170,872465,861800,851275,840934,830844,821055,811486,802037,792666,783403,774295,765271,756198,747052,737927,728932,720072,711251,702460,693782,685307,677041,668888,660797,652776,644852
9,375831,386229,397108,409714,421742,432647,443674,454692,465451,475734,488940,508215,531798,559991,588670,613646,637592,663257,690866,718818,745977,772213,798490,824587,848893,871649,895334,920570,946345,972488,998795,1023542,1045249,1062025,1072064,1074536,1072142,1070240,1071441,1075820,1082829,1092438,1103637,1115174,1125821,1134317,1142117,1150473,1159731,1171353,1184138,1192441,1193708,1189541,1181284,1171294,1164294,1164985,1173502,1181599,1181207,1173108,1162925,1156247,1154366,1156335,1161417,1166924,1168792,1164068,1152930,1138248,1125228,1115680,1105067,1088237,1070134,1062143,1058662,1053969,1050521,1039834,1025763,1015135,1004036,992699,981325,970054,958976,948033,937062,925947,914806,903811,892965,882215,871516,860874,850384,840088,830048,820306,810774,801348,791985,782716,773592,764550,755461,746306,737180,728195,719353,710557,701795,693146,684699,676453,668312,660225,652201
