Edad,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
0,568159,577657,594071,613919,637887,664331,687186,709353,734135,761687,789861,817039,843057,869110,894980,918818,940802,963564,988138,1013052,1035566,1057292,1079355,1098834,1113078,1120216,1119863,1114898,1110564,1109767,1112820,1118950,1127826,1138284,1148996,1158565,1165584,1171628,1178909,1187825,1199002,1211052,1218077,1217522,1211511,1201764,1190169,1180559,1177188,1179706,1180786,1174619,1162310,1149001,1139422,1134996,1135595,1140270,1145414,1147389,1143986,1134496,1120894,1108343,1098548,1086717,1068484,1049485,1041110,1039522,1036143,1029539,1017466,1004586,994292,983516,972412,961128,949806,938562,927392,916194,904905,893674,882688,871955,861420,851017,840721,830586,820612,810826,801256,791819,782431,773077,763818,754727,745759,736799,727830,718938,710220,701660,693142,684635,676203,667927,659811,651772,643775,635844,628021,620333,612750,605247,597828,590505,583293,576186,569173
1,516674,524131,534601,551292,572190,598676,625741,649509,672357,697516,724941,752809,779936,806067,832251,858393,882577,904743,927696,952605,976468,999848,1024410,1047745,1068275,1083771,1092545,1093888,1090524,1087948,1088866,1093255,1100399,1110168,1121409,1132724,1142724,1150078,1156557,1163836,1172842,1184891,1197655,1205123,1205093,1199621,1190310,1178902,1169301,1165685,1168285,1170490,1165742,1154664,1142231,1134099,1131776,1134207,1138674,1142582,1144191,1140449,1130337,1116372,1103314,1092467,1080174,1062388,1044247,1036319,1033405,1028579,1023994,1013987,1001211,990991,980283,969249,958042,946804,935648,924567,913457,902252,891097,880181,869511,859034,848685,838442,828359,818435,808699,799177,789785,780441,771128,761908,752852,743918,734990,726053,717193,708505,699975,691487,683009,674606,666357,658268,650254,642281,634373,626574,618908,611346,603865,596467,589165,581973,574887
2,483825,492911,501142,512434,529988,552614,579664,607361,631551,654818,680026,707339,735311,762641,788980,815548,842105,866529,888970,912349,936579,961035,986460,1011913,1035864,1056933,1073044,1082289,1083958,1081119,1079118,1080411,1085029,1092401,1102361,1113642,1124830,1134596,1141799,1148199,1155443,1164451,1176534,1189412,1197082,1197292,1191969,1182585,1170976,1160995,1157322,1160802,1164129,1160347,1150002,1138940,1132804,1132216,1134439,1137739,1141281,1142524,1138138,1127643,1113195,1099169,1087894,1075982,1058952,1041226,1033638,1030972,1026168,1021585,1011622,998877,988678,977996,966999,955837,944651,933551,922526,911468,900310,889198,878320,867683,857237,846919,836706,826653,816761,807055,797562,788198,778881,769593,760396,751363,742450,733543,724627,715787,707121,698611,690143,681686,673302,665072,657001,649004,641048,633157,625374,617724,610178,602713,595330,588043,580866
3,460137,470070,479513,488345,500309,518912,541894,569251,596978,621336,644665,669862,697197,725211,752599,779107,805816,832439,856870,879391,902343,926792,952212,978077,1003983,1028257,1049509,1065722,1075213,1077255,1074757,1073041,1074523,1079253,1086660,1096525,1107594,1118509,1128019,1135034,1141279,1148481,1157541,1169662,1182630,1190426,1190656,1185172,1175529,1163535,1153522,1150700,1155192,1159369,1156257,1147211,1138076,1133618,1132836,1133899,1136806,1139984,1140604,1135865,1124932,1109596,1095197,1084290,1073059,1056408,1039004,1031637,1028996,1024195,1019622,1009662,996923,986733,976072,965106,953985,942843,931788,920805,909786,898662,887579,876727,866114,855691,845396,835208,825179,815311,805630,796159,786818,777521,768253,759075,750059,741164,732275,723377,714555,705906,697413,688962,680522,672155,663940,655884,647903,639961,632085,624315,616679,609147,601695,594326,587052
4,440962,451303,461388,471193,480510,493190,512023,535186,562452,590191,614568,637915,663105,690416,718416,745851,772370,799070,825580,849922,872127,895139,920075,945729,971937,998057,1022348,1043557,1059948,1069712,1071972,1069698,1068149,1069707,1074425,1081700,1091331,1102118,1112744,1122015,1128832,1135023,1142284,1151367,1163552,1176595,1184341,1184363,1178593,1168568,1156549,1147379,1145541,1150837,1155635,1153753,1146574,1139060,1134420,1132509,1133180,1135732,1138318,1138599,1133449,1121686,1106027,1091990,1081722,1070832,1054469,1037278,1029945,1027301,1022497,1017907,1007937,995203,985025,974389,963457,952374,941272,930254,919305,908315,897216,886156,875323,864730,854327,844052,833885,823877,814030,804369,794918,785595,776315,767064,757902,748902,740023,731149,722266,713460,704826,696349,687913,679487,671134,662933,654891,646922,638993,631129,623373,615749,608229,600789,593432
5,424413,434897,445284,455588,465720,475519,488376,507321,530376,557610,585320,609698,633022,658168,685437,713422,740795,767265,793809,820148,844219,866403,889660,914723,940644,966998,993055,1017241,1038585,1055173,1065069,1067489,1065353,1063870,1065406,1069985,1077029,1086385,1096873,1107248,1116291,1123037,1129280,1136561,1145715,1157964,1170928,1178433,1178152,1171989,1161935,1150737,1142538,1141496,1147391,1153356,1153268,1147654,1139964,1134231,1131936,1132265,1134251,1136519,1136414,1130490,1118428,1103121,1089693,1079737,1069110,1052937,1035792,1028462,1025804,1020976,1016361,1006385,993662,983504,972897,961999,950953,939885,928898,917975,907008,895928,884886,874071,863494,853108,842852,832703,822714,812886,803241,793807,784500,775236,765999,756851,747866,739000,730141,721272,712479,703859,695395,686972,678559,670219,662030,654000,646042,638125,630273,622527,614915,607406,599976
6,408383,420070,430543,441059,451587,462026,471946,484891,503733,526757,553956,581638,605968,629239,654339,681565,709451,736747,763045,789390,815484,839474,861761,885088,910354,936372,962637,988559,1012840,1034329,1050996,1060989,1063511,1061433,1059928,1061323,1065681,1072458,1081523,1091762,1101892,1110855,1117647,1123915,1131264,1140491,1152663,1165367,1172544,1171862,1165660,1156391,1146140,1138725,1138283,1145306,1152986,1154406,1148622,1139880,1133764,1131138,1130932,1132622,1134533,1133697,1127487,1115757,1101034,1087909,1078197,1067732,1051602,1034472,1027129,1024438,1019581,1014948,1004976,992272,982139,971564,960700,949685,938647,927684,916782,905832,894769,883741,872941,862381,852011,841771,831639,821666,811854,802225,792806,783513,774262,765039,755904,746931,738078,729231,720374,711594,702987,694535,686123,677722,669393,661216,653195,645249,637342,629500,621764,614162,606662
7,392893,405145,416781,427328,438000,448729,459235,469212,482076,500894,523899,551068,578678,602938,626162,651213,678329,706123,733237,759328,785456,811430,835427,857748,881232,906574,932489,958600,984590,1008986,1030517,1047238,1057288,1059840,1057734,1056100,1057289,1061388,1067893,1076716,1086716,1096763,1105753,1112560,1118894,1126320,1135489,1147421,1159791,1166555,1165812,1160355,1151986,1142502,1135697,1136352,1145013,1154140,1155401,1148599,1139485,1133057,1129921,1129435,1130793,1132024,1130920,1125020,1113834,1099402,1086512,1076953,1066525,1050405,1033269,1025895,1023170,1018292,1013652,1003692,991014,980910,970365,959531,948545,937530,926587,915702,904767,893717,882703,871917,861371,851015,840791,830674,820716,810919,801304,791898,782618,773379,764169,755045,746084,737242,728406,719561,710793,702196,693755,685354,676963,668645,660478,652467,644530,636633,628800,621074,613480
8,379793,390389,402573,414240,424896,435702,446468,456996,466901,479758,498568,521558,548656,576177,600381,623553,648496,675517,703131,730037,755930,781929,807857,831843,854280,877824,903058,928822,954981,981064,1005473,1027033,1043770,1053824,1056339,1054105,1052275,1053220,1057063,1063339,1071938,1081851,1091914,1100909,1107783,1114192,1121568,1130526,1142148,1154102,1160777,1160726,1156126,1148497,1139613,1133879,1136112,1146153,1155132,1155418,1148257,1138838,1131918,1128524,1127736,1128455,1129439,1128626,1123228,1112323,1098110,1085372,1075851,1065422,1049292,1032134,1024729,1021979,1017093,1012457,1002517,989869,979793,969278,958471,947507,936512,925584,914713,903790,892753,881751,870978,860445,850104,839893,829791,819848,810063,800462,791069,781800,772573,763373,754261,745310,736478,727653,718818,710060,701473,693042,684652,676271,667962,659804,651802,643874,635985,628161,620443
9,367676,377774,388307,400498,412236,422983,433809,444576,455029,464929,477795,496601,519537,546550,574003,598146,621214,646066,672918,700331,727058,752816,778735,804615,828683,851159,874606,899690,925484,951725,977809,1002224,1023771,1040494,1050489,1052863,1050434,1048375,1049084,1052714,1058784,1067300,1077225,1087290,1096342,1103281,1109659,1116840,1125513,1136747,1148598,1155910,1156666,1152762,1145713,1137876,1133667,1137217,1147117,1155163,1155102,1147645,1137755,1130596,1126914,1125526,1126023,1127278,1126936,1121806,1111100,1097034,1084340,1074819,1064374,1048221,1031042,1023618,1020857,1015974,1011351,1001436,988819,978770,968279,957493,946548,935568,924653,913793,902882,891857,880868,870108,859588,849261,839064,828975,819045,809274,799684,790302,781044,771828,762638,753535,744594,735773,726957,718132,709384,700807,692386,684005,675633,667333,659183,651190,643270,635389,627573
