CVE,Entidad,Municipio,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
01001,Aguascalientes,Aguascalientes,243891,252446,261132,269901,278717,287450,295258,302058,308536,314667,321811,329477,337626,345724,353586,360930,367308,373489,380294,387600,395369,404583,413888,422973,431775,439363,446628,453699,460833,467992,473613,478026,483726,489947,496011,501877,507524,512894,517989,522804,527407,531810,536037,540118,544054,547866,551557,555104,558492,561667,564440
01002,Aguascalientes,Asientos,16849,17155,17456,17748,18026,18253,18470,18623,18745,18835,18963,19276,19602,19924,20222,20477,20945,21394,21895,22421,22985,23138,23278,23398,23492,23488,23985,24472,24974,25478,25916,26759,27253,27775,28307,28831,29346,29861,30361,30852,31338,31818,32297,32765,33230,33692,34152,34603,35050,35489,35889
01003,Aguascalientes,Calvillo,24701,25043,25374,25690,25985,26181,26072,25864,25608,25319,25055,25032,25030,25016,24966,24853,25221,25575,25968,26388,26820,27127,27433,27703,27949,28078,28337,28580,28826,29066,29189,29370,29524,29708,29886,30045,30188,30313,30421,30515,30587,30649,30699,30741,30768,30784,30792,30795,30785,30757,30726
01004,Aguascalientes,Cosío,5302,5460,5616,5784,5942,6097,6175,6223,6258,6292,6330,6419,6512,6603,6685,6753,6889,7019,7169,7325,7488,7559,7634,7702,7762,7791,7939,8084,8236,8381,8500,8670,8801,8946,9082,9222,9355,9487,9612,9735,9856,9972,10089,10197,10310,10420,10523,10630,10727,10827,10911
01005,Aguascalientes,Jesús María,21346,22419,23535,24682,25863,27154,28275,29323,30367,31397,32629,34261,36000,37804,39638,41651,43189,44741,46411,48195,50223,52457,54785,57145,59529,61974,62796,63578,64374,65164,65738,66379,67250,68191,69127,70038,70927,71780,72596,73381,74134,74861,75570,76254,76922,77564,78195,78799,79385,79934,80394
01006,Aguascalientes,Pabellón de Arteaga,13409,13859,14319,14783,15248,15704,16055,16341,16608,16855,17143,17597,18066,18540,19002,19442,19661,19870,20103,20362,20631,21139,21668,22175,22675,23114,23304,23476,23648,23812,23887,23814,23872,23957,24027,24090,24139,24172,24192,24199,24188,24171,24147,24109,24067,24021,23963,23898,23823,23737,23664
01007,Aguascalientes,Rincón de Romos,17540,17951,18359,18763,19155,19498,19865,20161,20425,20665,20946,21298,21672,22033,22377,22666,23033,23377,23765,24179,24614,25223,25842,26433,27010,27499,27785,28056,28332,28600,28767,29037,29260,29509,29750,29978,30187,30387,30563,30727,30873,31014,31138,31256,31366,31463,31554,31639,31713,31772,31832
01008,Aguascalientes,San José de Gracia,3447,3472,3506,3527,3556,3561,3579,3579,3572,3562,3556,3590,3632,3661,3695,3719,3798,3872,3955,4039,4133,4194,4260,4310,4365,4402,4456,4505,4554,4604,4639,4749,4783,4825,4853,4892,4920,4951,4979,5001,5021,5041,5059,5076,5088,5101,5117,5128,5132,5140,5143
01009,Aguascalientes,Tepezalá,7662,7792,7921,8046,8163,8251,8284,8282,8265,8240,8224,8306,8390,8466,8535,8576,8808,9031,9273,9531,9811,9970,10128,10269,10401,10505,10688,10870,11054,11238,11387,11317,11351,11401,11443,11482,11516,11538,11556,11568,11573,11576,11572,11563,11554,11542,11528,11506,11481,11457,11439
01010,Aguascalientes,El Llano,6649,6804,6953,7103,7253,7384,7515,7617,7711,7790,7886,8072,8270,8463,8652,8827,9004,9182,9369,9570,9780,9901,10013,10118,10204,10258,10351,10437,10528,10618,10660,10791,10848,10920,10985,11050,11104,11154,11198,11237,11269,11298,11319,11339,11356,11372,11382,11388,11391,11390,11388
01011,Aguascalientes,San Francisco de los Romo,7905,8106,8307,8506,8700,8878,9172,9440,9693,9944,10237,10940,11706,12509,13356,14354,14995,15651,16355,17108,17989,19061,20196,21378,22604,23972,25367,26825,28364,29986,31826,32838,34016,35267,36545,37850,39181,40535,41904,43296,44708,46147,47612,49116,50642,52204,53798,55426,57084,58769,60696
02001,Baja California,Ensenada,112481,115157,117822,120385,122828,124564,129526,134572,139568,144466,149229,153351,157584,161779,165882,169709,174070,178076,182435,187067,191363,195352,198806,202091,205208,210007,213048,216472,219876,223194,224671,227331,229501,231917,234222,236356,238283,239989,241467,242751,243861,244837,245696,246472,247186,247853,248471,249022,249477,249804,249974
02002,Baja California,Mexicali,312446,320197,327959,335433,342602,347848,355757,363546,370813,377510,382486,392607,402996,413255,423223,432435,440649,447875,455860,464430,471711,475344,477583,479312,480587,485417,494472,504435,514385,524135,529580,533906,538900,544468,549789,554724,559173,563103,566519,569461,572003,574217,576155,577904,579495,580973,582316,583491,584437,585078,585374
02003,Baja California,Tecate,27704,28588,29485,30365,31227,31964,33543,35176,36816,38458,40170,41839,43578,45344,47131,48904,49952,50887,51910,53000,53966,53881,53626,53297,52906,52846,53914,55087,56265,57426,58063,56757,57208,57721,58214,58666,59066,59412,59711,59965,60175,60355,60516,60652,60781,60895,61001,61093,61165,61211,61270
02004,Baja California,Tijuana,381632,403780,426989,450937,475590,501845,524846,548420,572005,595487,619278,639584,660584,681644,702465,722875,737498,750515,764872,780279,793717,805713,815459,824471,832812,847712,875377,905249,935745,966555,991715,1008476,1028162,1049309,1070382,1091103,1111247,1130744,1149567,1167796,1185561,1202985,1220208,1237349,1254500,1271705,1289004,1306285,1323401,1340148,1356147
