CVE,Entidad,Municipio,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
01001,Aguascalientes,Aguascalientes,255948,264829,273812,282863,291960,301057,308985,316333,323544,330625,338234,346411,354928,363563,372273,380747,388642,396257,403895,411276,418794,427239,435640,443867,451817,459122,466498,473873,481389,488990,495347,501728,508039,514597,521032,527344,533505,539505,545319,550947,556391,561677,566787,571720,576454,581004,585349,589498,593467,597203,600546
01002,Aguascalientes,Asientos,16616,16916,17209,17493,17763,17985,18356,18691,19013,19321,19642,19926,20224,20520,20815,21073,21553,22030,22502,22962,23444,23632,23808,23963,24096,24176,24695,25212,25748,26294,26784,26853,27353,27867,28377,28882,29388,29883,30365,30846,31318,31785,32246,32701,33144,33578,34003,34429,34840,35242,35609
01003,Aguascalientes,Calvillo,25480,25719,25934,26133,26312,26393,26591,26729,26837,26920,27012,26963,26920,26872,26810,26689,27068,27428,27783,28111,28435,28634,28822,28990,29129,29192,29404,29614,29822,30028,30144,30211,30375,30542,30695,30841,30971,31087,31187,31271,31346,31406,31452,31487,31510,31522,31519,31503,31467,31425,31379
01004,Aguascalientes,Cosío,5381,5550,5716,5885,6050,6210,6300,6377,6448,6514,6578,6722,6861,7010,7156,7293,7414,7531,7643,7757,7868,7942,8010,8079,8137,8175,8312,8447,8595,8741,8869,8942,9078,9221,9360,9497,9632,9767,9894,10019,10144,10261,10383,10493,10605,10711,10817,10917,11012,11103,11187
01005,Aguascalientes,Jesús María,21799,22874,23980,25124,26301,27595,28803,29992,31197,32422,33814,35396,37072,38823,40641,42665,44358,46072,47837,49622,51616,53478,55383,57317,59258,61334,62461,63593,64741,65909,66904,67829,68697,69596,70472,71325,72156,72959,73734,74487,75216,75917,76591,77242,77870,78465,79041,79583,80098,80585,80987
01006,Aguascalientes,Pabellón de Arteaga,13798,14288,14787,15291,15792,16297,16685,17033,17381,17711,18063,18535,19024,19527,20031,20534,20873,21202,21527,21830,22135,22594,23052,23504,23931,24330,24410,24479,24546,24620,24608,24748,24807,24880,24941,24990,25027,25048,25061,25063,25054,25034,25001,24955,24902,24835,24764,24681,24586,24489,24397
01007,Aguascalientes,Rincón de Romos,17617,18048,18479,18903,19329,19707,20147,20547,20927,21298,21688,22144,22619,23098,23576,24029,24368,24692,25008,25303,25600,26022,26452,26867,27263,27624,28064,28502,28941,29391,29753,29876,30110,30360,30601,30830,31044,31245,31431,31609,31771,31918,32058,32181,32296,32395,32485,32562,32626,32684,32740
01008,Aguascalientes,San José de Gracia,3533,3583,3620,3664,3700,3727,3756,3786,3802,3823,3837,3895,3949,4005,4061,4108,4183,4263,4340,4411,4486,4536,4586,4631,4674,4708,4790,4872,4956,5038,5112,5057,5089,5124,5160,5191,5222,5246,5274,5297,5320,5332,5348,5362,5373,5384,5389,5396,5394,5393,5398
01009,Aguascalientes,Tepezalá,7702,7811,7914,8015,8112,8177,8292,8381,8464,8541,8626,8739,8863,8983,9105,9212,9429,9638,9849,10056,10272,10415,10560,10690,10818,10922,11057,11189,11322,11460,11564,11680,11712,11755,11784,11810,11834,11854,11866,11870,11871,11870,11858,11848,11828,11807,11781,11745,11713,11678,11646
01010,Aguascalientes,El Llano,6231,6401,6571,6738,6910,7064,7234,7381,7536,7676,7826,8002,8185,8366,8552,8731,8883,9022,9170,9307,9443,9646,9848,10045,10239,10417,10460,10494,10530,10568,10570,10535,10596,10658,10721,10774,10828,10873,10916,10948,10978,11009,11024,11044,11055,11062,11065,11061,11057,11047,11040
01011,Aguascalientes,San Francisco de los Romo,8050,8268,8483,8700,8914,9104,9434,9752,10068,10382,10733,11460,12246,13073,13959,15016,15684,16368,17077,17795,18620,19630,20686,21775,22908,24205,25625,27114,28690,30360,32273,33436,34586,35793,37026,38279,39565,40871,42204,43562,44948,46362,47798,49263,50754,52271,53811,55379,56975,58592,60450
02001,Baja California,Ensenada,111650,114278,116932,119495,121958,123724,128526,133290,138057,142831,147603,151545,155552,159603,163672,167618,172149,176470,180859,185185,189247,192878,196174,199394,202503,206711,210303,214142,217990,221792,224100,224729,226564,228520,230374,232104,233707,235189,236541,237780,238909,239931,240847,241654,242357,242952,243423,243792,244045,244186,244221
02002,Baja California,Mexicali,307824,315410,323095,330539,337710,343023,349796,356081,362058,367696,372020,381686,391507,401427,411390,421009,429919,438163,446446,454454,461412,467018,471672,476012,479963,486055,492616,499731,506847,513866,517419,520676,524931,529462,533742,537736,541423,544821,547929,550764,553346,555689,557786,559638,561249,562604,563719,564574,565176,565522,565630
02003,Baja California,Tecate,26020,26924,27859,28783,29699,30498,31953,33414,34904,36417,38030,39045,40071,41100,42134,43173,44269,45306,46356,47382,48328,49086,49757,50407,51027,51917,51979,52080,52159,52213,51903,53817,54154,54511,54847,55158,55436,55690,55912,56105,56277,56427,56550,56654,56734,56795,56831,56846,56839,56807,56797
02004,Baja California,Tijuana,373897,395017,417201,440015,463454,488384,509770,531156,552839,574693,597462,617970,638976,660414,682215,704334,721733,738118,754629,770731,785366,797680,808393,818599,828186,841705,866323,892508,919309,946562,969673,986735,1004685,1023514,1042188,1060637,1078841,1096761,1114440,1131872,1149082,1166070,1182858,1199419,1215733,1231799,1247583,1263050,1278207,1293050,1307361
02005,Baja California,Playas de Rosarito,14371,15678,17098,18618,20251,22299,23823,25405,27056,28793,30829,31820,32841,33870,34914,35959,37660,39364,41133,42944,44896,45909,46839,47757,48654,49820,52361,55083,57935,60905,64008,65002,66884,68843,70828,72828,74834,76863,78895,80940,82999,85078,87171,89278,91401,93533,95685,97848,100021,102199,104505
02006,Baja California,San Quintín,19920,21773,23798,25975,28315,31239,32002,32728,33428,34105,34663,35339,36020,36694,37377,37988,39172,40313,41479,42644,43768,45133,46447,47756,49062,50728,52323,54019,55760,57537,59061,59967,61140,62369,63584,64791,65978,67151,68310,69454,70580,71697,72799,73883,74959,76015,77050,78067,79067,80044,80968
02007,Baja California,San Felipe,4794,5002,5218,5435,5659,5874,6151,6433,6710,7001,7299,7399,7507,7609,7709,7790,8017,8238,8458,8678,8893,9000,9091,9177,9252,9370,9478,9599,9712,9825,9866,9792,9812,9839,9852,9865,9873,9872,9866,9853,9840,9820,9791,9764,9730,9690,9647,9606,9553,9493,9452
03001,Baja California Sur,Comondú,33005,33164,33252,33307,33319,33158,33046,32886,32669,32401,32098,32213,32335,32407,32432,32293,32826,33489,34106,34646,34780,35297,35664,35993,36285,36458,36523,36565,36598,36631,36578,36905,37047,37214,37341,37433,37500,37535,37532,37500,37441,37354,37230,37086,36911,36706,36476,36221,35942,35643,35411
03002,Baja California Sur,Mulegé,19266,19941,20597,21249,21891,22498,22624,22722,22778,22793,22785,23382,23986,24579,25139,25626,26274,27043,27783,28462,28830,29091,29229,29340,29410,29382,29803,30207,30606,31009,31352,31638,31901,32182,32436,32664,32861,33034,33179,33292,33385,33453,33487,33496,33479,33443,33374,33285,33170,33030,32892
03003,Baja California Sur,La Paz,81654,83806,85839,87798,89699,91274,93142,94904,96545,98032,99509,102089,104702,107228,109656,111670,114749,118333,121796,125036,126987,130242,133021,135706,138280,140553,142223,143828,145437,147043,148402,151226,153666,156227,158693,161048,163291,165438,167469,169390,171187,172879,174449,175896,177226,178429,179498,180435,181248,181925,182238
03008,Baja California Sur,Los Cabos,21796,23732,25786,27986,30333,33260,36293,39546,43022,46725,51704,56242,61172,66441,72044,78870,85281,92536,100211,108229,117084,122327,127249,132231,137253,142599,148415,154372,160579,166989,173909,178822,184647,190790,196970,203205,209473,215775,222128,228514,234915,241342,247808,254268,260750,267234,273734,280225,286706,293181,299686
03009,Baja California Sur,Loreto,4383,4499,4610,4718,4823,4904,5069,5231,5391,5550,5722,5760,5801,5833,5851,5852,6214,6632,7061,7496,7958,8248,8518,8789,9059,9321,9238,9149,9061,8971,8866,8802,8722,8649,8571,8486,8390,8294,8185,8072,7960,7833,7708,7581,7443,7308,7168,7026,6882,6734,6648
04001,Campeche,Calkiní,15232,15473,15717,15954,16169,16323,16634,16868,17088,17300,17528,17767,18028,18291,18561,18808,19064,19268,19477,19663,19870,20175,20497,20823,21136,21325,21469,21574,21673,21758,21847,21980,22085,22205,22319,22416,22510,22589,22663,22729,22788,22838,22889,22928,22961,22992,23011,23031,23036,23040,23037
